SURABAYA,,JOMBANG,,KEDIRI,,BLITAR,,PACITAN,,GRESIK,,TULUNGAGUNG,,SIDOARJO,,LAMONGAN,,PONOROGO,,MALANG,,NGANJUK,,TRENGGALEK,,MOJOKERTO
60187,,"Brodot, Bandar Kedung Mulyo",,64222,,Jingglong,,Karangrejo,,"Bangkingan, Jawa Timur, Indonesia",,"Ngunut, Jawa Timur, Indonesia",,Kedungbendo,,Bugel,,Pakunden  ,,"Jambu, East Java",,"Lestari, Patianrowo",,,,Candiharjo
60188,,Brudu,,64223,,Kalipang,,Kasihan,,Banjaragung,,"Pagerwojo, Jawa Timur, Indonesia",,Kedungboto,,Bugoharjo,,Patihan Wetan,,"Jambuwer, Jawa Timur, Indonesia",,Mojoduwur,,,,Candiwatu
60189,,Budugsidorejo,,64224,,"Kanigoro, Jawa Timur, Indonesia",,Katipugal,,Banjaran,,Panggungrejo,,"Kemantren, East Java",,Bulutengger,,"Pelem 1, East Java",,"Jatimulyo, Jawa Timur, Indonesia",,"Ngandjoek, East Java",,,,Centong
60191,,Bulurejo,,64225,,Karangsari,,Kayen,,"Banjaran, East Java",,"Panjerrejo, East Java",,"Kemasan, Krian",,Bulutigo,,Pinggirsari,,"Jatirejoso, Jawa Timur, Indonesia",,Ngasem,,,,Cepokolimo
60192,,Candi Mulyo,,64226,,Kaulon,,Kebon Agung,,"Banjar-anyar, East Java",,Plandaan,,"Kemiri, Jawa Timur, Indonesia",,Butungan,,"Ponogoro, Jawa Timur, Indonesia",,"Jeding, East Java",,Ngepeh,,,,Cinandang
60195,,Cangkringrandu,,64227,,"Kawisari, East Java",,Kebonagung,,Banjarsari,,Plosokandang,,"Kepuh, Jawa Timur, Indonesia",,Candisari,,"Pudakkulon, East Java, Indonesia",,"Jombok, Jawa Timur, Indonesia",,Ngrengket,,,,Claket
60196,,Carangwulung,,64228,,Kedungbunder,,Kebondalem,,"Banjarsari, East Java",,"Redjotangan 1, East Java",,"Kepuhbeiro, East Java",,Canditunggal,,"Sambit, Jawa Timur, Indonesia",,"Juwet, East Java",,"Ngronggot, Jawa Timur, Indonesia",,,,Curahmojo
60197,,Cetak Gayam,,64229,,"Kembangarum, Sutojayan",,Kebonsari,,Banter,,Rejoagung,,"Kepuhkemiri, East Java",,Canggah,,"Sampung, Jawa Tengah, Indonesia",,"Kacuk, East Java",,Ngumpul ,,,,Dawar Blandong
60198,,"Ceweng, Diwek",,64291,,Kepanjen Lor,,Kedungbendo,,Banyutengah,,"Rejotangan, Jawa Timur, Indonesia",,"Kepuhsari, East Java",,Cangkring,,"Slahung, Jawa Timur, Indonesia",,"Kajang, East Java",,Pandantoyo,,,,Dawarblandong
60199,,"Cukir, Jawa Timur, Indonesia",,64292,,"Keras, East Java",,Kembang,,Banyuurip,,Ringinpitu,,"Kepungmlaten, East Java",,Centini,,Surodikraman,,"Kajar, East Java",,"Paron,kec.bagor",,,,Dilem
60211,,Cupak,,64293,,Klampok,,Kemuning,,Banyuwangi,,"Ruser, East Java",,"Kepunten, East Java",,Cluring,,"Tamansari, Jawa Timur, Indonesia",,"Kalipare, Jawa Timur, Indonesia",,"Patianrowo, Jawa Timur, Indonesia",,,,Dinoyo
60212,,"Curah Malang, Sumobito",,64294,,"Krisik, Jawa Timur, Indonesia",,Kendal,,Baron,,"Sembung, Tulungagung",,"Kletek Sambikerep, Jawa Timur, Indonesia",,Cungkup,,Tambakbayan,,"Kalisari, East Java",,Payaman,,,,Dlanggu
60213,,"Curahmalang, East Java",,"Badek, East Java",,Kuningan,,Ketanggung,,"Batanggadjah, East Java",,Simo,,Kraton,,Dagan,,Tonatan,,"Kambingan Dua, East Java",,"Pelem, Kertosono",,,,Domas
60214,,Dadi Tunggal,,Balowerti,,"Lodoyo, Jawa Timur, Indonesia",,Ketepung,,Bedanten,,"Sumbergempol, Jawa Timur, Indonesia",,"Kwangen, East Java",,Daliwangun,,,,"Kambingan Satu, East Java",,Ploso,,,,Dukuhngarjo
60215,,Dapur Kejambon,,"Bambingan, East Java",,"Maron, Jawa Timur, Indonesia",,Ketro,,"Bedanten, East Java",,"Sumberpandan, East Java",,"Kwangsan Kidul, East Java",,Dateng,,,,"Kapru, East Java",,"Pucuk, Patianrowo",,,,Duyung
60216,,"Darurejo, Plandaan",,Bandar Kidul,,Ngadirejo,,Kledung,,Bedilan,,"Suruhan, Jawa Timur, Indonesia",,"Kwangsan Lor, East Java",,Datinawong,,,,"Kapurono, East Java",,"Puhkerep, Rejoso",,,,Gading
60217,,"Denanyar, Jawa Timur, Indonesia",,Bandar Lor,,"Nglegok, Jawa Timur, Indonesia",,Klepu,,"Bedilan, Jawa Timur, Indonesia",,Tamanan,,"Kwangsan Tengah, East Java",,Deket,,,,"Karangrejo Dua, East Java",,Pule,,,,Gayaman
60218,,"Diwek, Jawa Timur, Indonesia",,Banjaran,,Pakunden,,Klepu (Kelepu),,"Belahanredjo, East Java",,"Tapan, Tulungagung",,"Kwangsan, East Java",,Deket Kulon,,,,"Karangsari 1, East Java",,"Rejoso, East Java",,,,Gebangmalang
60219,,"Djombang, Jawa Timur, Indonesia",,Banjarmlati,,Pandanarum,,Klesem,,Belahanrejo,,Tawangsari,,"Maduretno, East Java",,Deket Wetan,,,,"Karangsari Satu, Jawa Timur, Indonesia",,Ringinanom,,,,Gebangsari
60221,,Dukuh Arum,,"Banyakan, Jawa Timur, Indonesia",,Papungan,,Kluwih,,Bendungan,,Tertek,,Magersari,,Deketagung,,,,"Karangtengah, East Java",,"Salamdjudek, East Java",,,,Gedeg
60222,,Dukuh Klopo,,"Besowo, Jawa Timur, Indonesia",,"Pelas, Jawa Timur, Indonesia",,Losari,,Bengkelolor,,"Toeloengagoeng, East Java",,"Mergobener, East Java",,Dermo Lemahbang,,,,"Kasembon, Jawa Timur, Indonesia",,Salamrojo,,,,Gedongan
60223,,Dukuh Mojo,,"Bogokidul, East Java",,"Penataran, Jawa Timur, Indonesia",,Mangunharjo,,Benjeng,,Tunggulsari,,"Mergojog, East Java",,Dibe,,,,"Kasian, East Java",,"Sambikerep, Rejoso",,,,Gembongan
60224,,Dukuhdimoro,,"Brenggolo, Jawa Timur, Indonesia",,Plosokerep,,"Mangunharjo, Jawa Timur, Indonesia",,Betiting,,Winong,,"Mergosari, East Java",,Doyomulyo,,,,"Kasim, East Java",,Sambirejo,,,,"Gembongan, Jawa Timur, Indonesia"
60225,,Gabusbanaran,,Bujel,,"Pohgajih, Jawa Timur, Indonesia",,Mantren,,Beton,,,,"Mijen, East Java",,Dradah Blumbang,,,,"Kasur, East Java",,Sekaran,,,,Gemekan
